1478376274.924613,23.5,986.05,27.4
1478376275.494723,23.6,986.01,27.5
1478376276.065154,23.6,985.99,27.5
1478376276.635031,23.6,986.01,27.6
1478376277.204898,23.6,986.02,27.5
1478376277.774904,23.6,986.0,27.5

1479679028.865452,20.3,995.44,39.4
1479679029.453071,21.9,995.45,38.3
1479679030.037124,21.8,995.4,38.3
1479679030.630653,21.8,995.39,38.3
1479679031.215493,21.8,995.42,38.3
1479682358.03494,21.8,990.11,38.5
1479682358.626074,23.9,990.1,38.7
1479682359.219749,23.8,990.15,38.6
1479683014.495519,23.9,990.3,38.4
1479683015.098109,23.9,990.31,37.3
1479683015.690369,23.8,990.3,37.3
1479683016.279851,23.8,990.31,37.6
1479683016.869608,23.8,990.29,36.8
1479683017.462559,23.8,990.33,37.5
1479683018.049865,23.8,990.31,37.8
1479683018.647055,23.8,990.26,36.6
1479683019.232475,23.8,990.31,37.4
1479683019.829235,23.8,990.33,37.5
1479683468.528288,23.8,990.24,37.4
1479683469.114711,23.8,990.27,37.8
1479683469.699897,23.8,990.23,37.6
1479683470.287622,23.8,990.26,37.6
1479683470.875343,23.8,990.2,37.5
1479683471.462341,23.8,990.25,37.5
1479683472.049501,23.8,990.22,37.7
1479683472.636797,23.8,990.23,37.6
1479683473.221323,23.8,990.22,37.5
1479683473.806455,23.8,990.25,37.7
